trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",20,0,-1.4400497006177972,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,8,-20.613383855270655,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",35,15,-34.53473405944335,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",25,0,-137.0378173949867,"{0: 12, 1: 1, 2: 11, 3: 0, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",20,0,-6.877930285689215,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,0,-36.98470642265429,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",20,0,-56.001250078156566,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",25,0,-199.14843944002024,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 5}",0
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",20,0,-41.26105500701574,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",30,11,-58.580205646443716,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",25,0,-40.65029184304965,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",35,0,-51.84566406764488,"{0: 25, 1: 3, 2: 7, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",20,0,-6.015600236807417,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",30,0,-80.93783429277676,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",30,0,-44.278476278614136,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",30,0,-49.21010607398414,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",30,0,8.705630854061214,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
